Unnamed: 0,text,preprocess_texts,tokens,tokens_no_stopwords
4001,@Amour51947284 @Ziba_ARMY @BTS_twt سهخهممنیسشصثسس🥺🌸,سهخهممنیسشصثسس,['سهخهممنیسشصثسس'],['سهخهممنیسشصثسس']
4002,"RT @MAhmadi73: برای مردمی کردن اقتصاد باید با نظام اقتصادي ليبرال و سوسياليستي مرزبندي روشن داشته باشیم.

#آقامحسن_ایران 
#اقدام_و_تحول 
#م…",برای مردمی کردن اقتصاد باید با نظام اقتصادي ليبرال و سوسياليستي مرزبندي روشن داشته باشیم آقامحسن ایران  اقدام و تحول  م,"['برای', 'مردمی', 'کردن', 'اقتصاد', 'باید', 'با', 'نظام', 'اقتصادي', 'ليبرال', 'و', 'سوسياليستي', 'مرزبندي', 'روشن', 'داشته_باشیم', 'آقامحسن', 'ایران', 'اقدام', 'و', 'تحول', 'م']","['مردمی', 'اقتصاد', 'نظام', 'اقتصادي', 'ليبرال', 'سوسياليستي', 'مرزبندي', 'روشن', 'داشته_باشیم', 'آقامحسن', 'ایران', 'اقدام', 'تحول', 'م']"
4003,RT @Arnika1386: #محسن_رضایی: برای تحقق اقتصاد مقاومتی در مرحله اول باید به سمت مردمی کردن اقتصاد پیش برویم. وقتی مردم در تولید، تجارت، بازر…,محسن رضایی برای تحقق اقتصاد مقاومتی در مرحله اول باید به سمت مردمی کردن اقتصاد پیش برویم وقتی مردم در تولید تجارت بازر,"['محسن', 'رضایی', 'برای', 'تحقق', 'اقتصاد', 'مقاومتی', 'در', 'مرحله', 'اول', 'باید', 'به', 'سمت', 'مردمی', 'کردن', 'اقتصاد', 'پیش', 'برویم', 'وقتی', 'مردم', 'در', 'تولید', 'تجارت', 'بازر']","['محسن', 'رضایی', 'تحقق', 'اقتصاد', 'مقاومتی', 'مرحله', 'مردمی', 'اقتصاد', 'برویم', 'مردم', 'تولید', 'تجارت', 'بازر']"
4004,"RT @nyctophilia65: غمگینم 😔

مث یه پرسپولیسی که واس خاطر طرفداری از تیمش مجبور شه بره پشت وزیری وایسه که دو هفته اینترنتو روی مردم بست و دس…",غمگینم مث یه پرسپولیسی که واس خاطر طرفداری از تیمش مجبور شه بره پشت وزیری وایسه که دو هفته اینترنتو روی مردم بست و دس,"['غمگینم', 'مث', 'یه', 'پرسپولیسی', 'که', 'واس', 'خاطر', 'طرفداری', 'از', 'تیمش', 'مجبور', 'شه', 'بره', 'پشت', 'وزیری', 'وایسه', 'که', 'دو', 'هفته', 'اینترنتو', 'روی', 'مردم', 'بست', 'و', 'دس']","['غمگینم', 'مث', 'یه', 'پرسپولیسی', 'واس', 'خاطر', 'طرفداری', 'تیمش', 'مجبور', 'شه', 'بره', 'وزیری', 'وایسه', 'هفته', 'اینترنتو', 'مردم', 'بست', 'دس']"
4005,@Alireza89872393 پشتون است است از نامش پیدا است کوه ها پایان شده. در عصر حجر هستند هنوز,پشتون است است از نامش پیدا است کوه ها پایان شده در عصر حجر هستند هنوز,"['پشتون', 'است', 'است', 'از', 'نامش', 'پیدا', 'است', 'کوه', 'ها', 'پایان', 'شده', 'در', 'عصر', 'حجر', 'هستند', 'هنوز']","['پشتون', 'نامش', 'کوه', 'ها', 'پایان', 'عصر', 'حجر']"
4006,گل کوچیکش می‌کنیم که نفرات کم بشن,گل کوچیکش میکنیم که نفرات کم بشن,"['گل', 'کوچیکش', 'میکنیم', 'که', 'نفرات', 'کم', 'بشن']","['گل', 'کوچیکش', 'میکنیم', 'نفرات', 'بشن']"
4007,RT @SAvginsaz: کلک مرغابی ارتش اسرائیل: دیشب ارتش اسرائیل خبر داد که ارتش آماده حمله زمینی است. حماس با شنیدن این خبر همه نیروهای خود که گر…,کلک مرغابی ارتش اسرائیل دیشب ارتش اسرائیل خبر داد که ارتش آماده حمله زمینی است حماس با شنیدن این خبر همه نیروهای خود که گر,"['کلک', 'مرغابی', 'ارتش', 'اسرائیل', 'دیشب', 'ارتش', 'اسرائیل', 'خبر', 'داد', 'که', 'ارتش', 'آماده', 'حمله', 'زمینی', 'است', 'حماس', 'با', 'شنیدن', 'این', 'خبر', 'همه', 'نیروهای', 'خود', 'که', 'گر']","['کلک', 'مرغابی', 'ارتش', 'اسرائیل', 'دیشب', 'ارتش', 'اسرائیل', 'خبر', 'ارتش', 'آماده', 'حمله', 'زمینی', 'حماس', 'شنیدن', 'خبر', 'نیروهای', 'گر']"
4008,"RT @babak2040: چون تو را دارم
همه دارم 
دگرم هیچ نباید...
#SabaHungerStrike
🌪🌪🌪🌪🌪🌪",چون تو را دارمهمه دارم دگرم هیچ نباید sabahungerstrike,"['چون', 'تو', 'را', 'دارمهمه', 'دارم', 'دگرم', 'هیچ', 'نباید', 'sabahungerstrike']","['دارمهمه', 'دارم', 'دگرم', 'sabahungerstrike']"
4009,"چه جالب دم انتخابات زدن خواننده رو ممنوع الکار کردن

#آزادی
#زانیار_خسروی",چه جالب دم انتخابات زدن خواننده رو ممنوع الکار کردن آزادی زانیار خسروی,"['چه', 'جالب', 'دم', 'انتخابات', 'زدن', 'خواننده', 'رو', 'ممنوع', 'الکار', 'کردن', 'آزادی', 'زانیار', 'خسروی']","['جالب', 'دم', 'انتخابات', 'زدن', 'خواننده', 'ممنوع', 'الکار', 'آزادی', 'زانیار', 'خسروی']"
4010,"RT @ali_shahbazi_am: ""اقدام"" کلمه ای که جلوی چشم بود اما کسی آن را ندید 
نگاه #محسن_رضایی به مسائل همیشه با سایرین متفاوت بود 
#اقدام_و_تحو…",اقدام کلمه ای که جلوی چشم بود اما کسی آن را ندید نگاه  محسن رضایی به مسائل همیشه با سایرین متفاوت بود  اقدام و تحو,"['اقدام', 'کلمه', 'ای', 'که', 'جلوی', 'چشم', 'بود', 'اما', 'کسی', 'آن', 'را', 'ندید', 'نگاه', 'محسن', 'رضایی', 'به', 'مسائل', 'همیشه', 'با', 'سایرین', 'متفاوت', 'بود', 'اقدام', 'و', 'تحو']","['اقدام', 'کلمه', 'ای', 'جلوی', 'چشم', 'ندید', 'نگاه', 'محسن', 'رضایی', 'مسائل', 'سایرین', 'اقدام', 'تحو']"
4011,"ساعت ها فکر کردم تا جمله ای در وصف حکیم #فردوسی_بزرگ بنویسم
اما زبان فارسی با این توانمندی و شکوه از وصف او قاصر اس… https://t.co/Vr27n2GekU",ساعت ها فکر کردم تا جمله ای در وصف حکیم  فردوسی بزرگ بنویسماما زبان فارسی با این توانمندی و شکوه از وصف او قاصر اس,"['ساعت', 'ها', 'فکر', 'کردم', 'تا', 'جمله', 'ای', 'در', 'وصف', 'حکیم', 'فردوسی', 'بزرگ', 'بنویسماما', 'زبان', 'فارسی', 'با', 'این', 'توانمندی', 'و', 'شکوه', 'از', 'وصف', 'او', 'قاصر', 'اس']","['ساعت', 'ها', 'جمله', 'ای', 'وصف', 'حکیم', 'فردوسی', 'بنویسماما', 'زبان', 'فارسی', 'توانمندی', 'شکوه', 'وصف', 'قاصر', 'اس']"
4012,@IsraelPersian دقیقا این دور از مبارزه و کلا مبارزه تمام نشده.و تا نابودی شما تمام نخواهد شد.کلاس های شنا رو که به… https://t.co/5B16FDPEvy,دقیقا این دور از مبارزه و کلا مبارزه تمام نشدهو تا نابودی شما تمام نخواهد شدکلاس های شنا رو که به,"['دقیقا', 'این', 'دور', 'از', 'مبارزه', 'و', 'کلا', 'مبارزه', 'تمام', 'نشدهو', 'تا', 'نابودی', 'شما', 'تمام', 'نخواهد_شدکلاس', 'های', 'شنا', 'رو', 'که', 'به']","['دقیقا', 'مبارزه', 'کلا', 'مبارزه', 'نشدهو', 'نابودی', 'نخواهد_شدکلاس', 'های', 'شنا']"
4013,@the__beanstalk میشه خبر بدی چیشد,میشه خبر بدی چیشد,"['میشه', 'خبر', 'بدی', 'چیشد']","['میشه', 'خبر', 'بدی', 'چیشد']"
4014,@nazaning الان ایشون کیه؟,الان ایشون کیه,"['الان', 'ایشون', 'کیه']","['الان', 'ایشون', 'کیه']"
4015,RT @AliTavakkoli80: از امروز هرکی گفت قالیباف قدرت طلبه قایم بخوابونید دهنش :),از امروز هرکی گفت قالیباف قدرت طلبه قایم بخوابونید دهنش,"['از', 'امروز', 'هرکی', 'گفت', 'قالیباف', 'قدرت', 'طلبه', 'قایم', 'بخوابونید', 'دهنش']","['امروز', 'هرکی', 'قالیباف', 'قدرت', 'طلبه', 'قایم', 'بخوابونید', 'دهنش']"
4016,"RT @Noorafarin12313: با ورود آیت‌الله رئیسی به صحنه انتخابات، کشور را از جنبه های مختلف نوسازی می کنیم.
#رئیسی_متشکریم",با ورود آیتالله رئیسی به صحنه انتخابات کشور را از جنبه های مختلف نوسازی می کنیم رئیسی متشکریم,"['با', 'ورود', 'آیتالله', 'رئیسی', 'به', 'صحنه', 'انتخابات', 'کشور', 'را', 'از', 'جنبه', 'های', 'مختلف', 'نوسازی', 'می', 'کنیم', 'رئیسی', 'متشکریم']","['ورود', 'آیتالله', 'رئیسی', 'صحنه', 'انتخابات', 'کشور', 'جنبه', 'های', 'مختلف', 'نوسازی', 'رئیسی', 'متشکریم']"
4017,@nifara38 آخه نیستم,آخه نیستم,"['آخه', 'نیستم']","['آخه', 'نیستم']"
4018,"RT @Fd8gIqIZXFcQC1T: هیچ کس مثل رئیسی،رئیسنمشود
#رئیسی_متشکریم",هیچ کس مثل رئیسیرئیسنمشود رئیسی متشکریم,"['هیچ', 'کس', 'مثل', 'رئیسیرئیسنمشود', 'رئیسی', 'متشکریم']","['کس', 'رئیسیرئیسنمشود', 'رئیسی', 'متشکریم']"
4019,@Wanted_cool_ice مبارک,مبارک,['مبارک'],['مبارک']
4020,@maybekiyana خوبیییی؟,خوبیییی,['خوبیییی'],['خوبیییی']
4021,RT @mastoore73: می آید تا گام دوم انقلاب محقق شود. https://t.co/niwmfksxuf,می آید تا گام دوم انقلاب محقق شود,"['می', 'آید', 'تا', 'گام', 'دوم', 'انقلاب', 'محقق', 'شود']","['آید', 'گام', 'انقلاب', 'محقق']"
4022,RT @red_dream1994: من هرجور نگاه میکنم شادی گل آل کثیر مشکلی نداشته ولی خب چون گلش یه راست رفته تو ماتحتتون سر همون واقعا دردتون اومده فک ک…,من هرجور نگاه میکنم شادی گل آل کثیر مشکلی نداشته ولی خب چون گلش یه راست رفته تو ماتحتتون سر همون واقعا دردتون اومده فک ک,"['من', 'هرجور', 'نگاه', 'میکنم', 'شادی', 'گل', 'آل', 'کثیر', 'مشکلی', 'نداشته', 'ولی', 'خب', 'چون', 'گلش', 'یه', 'راست', 'رفته', 'تو', 'ماتحتتون', 'سر', 'همون', 'واقعا', 'دردتون', 'اومده', 'فک', 'ک']","['هرجور', 'نگاه', 'میکنم', 'شادی', 'گل', 'آل', 'کثیر', 'مشکلی', 'نداشته', 'خب', 'گلش', 'یه', 'راست', 'رفته', 'ماتحتتون', 'سر', 'همون', 'واقعا', 'دردتون', 'اومده', 'فک', 'ک']"
4023,"RT @amirrez76051378: سوابق همه ثبت نام کننده ها رو ببینید/ کلهم اجمعین به اندازه ۱۰ واحد مسکن مهر به این ملت خدمت نکرده اند

#یا_احمدی_یا_ه…",سوابق همه ثبت نام کننده ها رو ببینید/ کلهم اجمعین به اندازه ۱۰ واحد مسکن مهر به این ملت خدمت نکرده اند یا احمدی یا ه,"['سوابق', 'همه', 'ثبت', 'نام', 'کننده', 'ها', 'رو', 'ببینید', '/', 'کلهم', 'اجمعین', 'به', 'اندازه', '۱۰', 'واحد', 'مسکن', 'مهر', 'به', 'این', 'ملت', 'خدمت', 'نکرده_اند', 'یا', 'احمدی', 'یا', 'ه']","['سوابق', 'ثبت', 'نام', 'ها', 'ببینید', '/', 'کلهم', 'اجمعین', 'اندازه', '۱۰', 'واحد', 'مسکن', 'مهر', 'ملت', 'خدمت', 'نکرده_اند', 'احمدی', 'ه']"
4024,"@callmeatousah قول دادما
توعم باید بیای 🤝",قول دادماتوعم باید بیای,"['قول', 'دادماتوعم', 'باید', 'بیای']","['قول', 'دادماتوعم', 'بیای']"
4025,RT @REALRH4: خیلی برام جالبه؛ وزارت ارشاد همیشه سیروان و زانیار تحت فشار قرار میداد از اون ماجرای همکاری سیروان با انریکه ، بعد الانم ممنوع…,خیلی برام جالبه؛ وزارت ارشاد همیشه سیروان و زانیار تحت فشار قرار میداد از اون ماجرای همکاری سیروان با انریکه  بعد الانم ممنوع,"['خیلی', 'برام', 'جالبه', '؛', 'وزارت', 'ارشاد', 'همیشه', 'سیروان', 'و', 'زانیار', 'تحت', 'فشار', 'قرار', 'میداد', 'از', 'اون', 'ماجرای', 'همکاری', 'سیروان', 'با', 'انریکه', 'بعد', 'الانم', 'ممنوع']","['برام', 'جالبه', '؛', 'وزارت', 'ارشاد', 'سیروان', 'زانیار', 'فشار', 'قرار', 'میداد', 'اون', 'ماجرای', 'همکاری', 'سیروان', 'انریکه', 'الانم', 'ممنوع']"
4026,"RT @Qana135: موشکهای سعودی صنعاء را میزنند
موشکهای ایران تل آویو را هدف قرار میدهند
فتوای مفتی های سعودی قتل شیعیان و سلام و صلوات برای اسر…",موشکهای سعودی صنعاء را میزنندموشکهای ایران تل آویو را هدف قرار میدهندفتوای مفتی های سعودی قتل شیعیان و سلام و صلوات برای اسر,"['موشکهای', 'سعودی', 'صنعاء', 'را', 'میزنندموشکهای', 'ایران', 'تل', 'آویو', 'را', 'هدف', 'قرار', 'میدهندفتوای', 'مفتی', 'های', 'سعودی', 'قتل', 'شیعیان', 'و', 'سلام', 'و', 'صلوات', 'برای', 'اسر']","['موشکهای', 'سعودی', 'صنعاء', 'میزنندموشکهای', 'ایران', 'تل', 'آویو', 'هدف', 'قرار', 'میدهندفتوای', 'مفتی', 'های', 'سعودی', 'قتل', 'شیعیان', 'سلام', 'صلوات', 'اسر']"
4027,"RT @hatefull_trash: 16 سال گذشت
تو که باشی، ما نیز هستیم 

#یا_احمدی_یا_هیچ_احدی",16 سال گذشتتو که باشی ما نیز هستیم  یا احمدی یا هیچ احدی,"['16', 'سال', 'گذشتتو', 'که', 'باشی', 'ما', 'نیز', 'هستیم', 'یا', 'احمدی', 'یا', 'هیچ', 'احدی']","['16', 'سال', 'گذشتتو', 'باشی', 'احمدی', 'احدی']"
4028,"RT @AmirBoromand184: فقط خواهشا دروغ کمتر بگید، باشه؟؟؟

#انتخابات
#دروغ",فقط خواهشا دروغ کمتر بگید باشه انتخابات دروغ,"['فقط', 'خواهشا', 'دروغ', 'کمتر', 'بگید', 'باشه', 'انتخابات', 'دروغ']","['خواهشا', 'دروغ', 'کمتر', 'بگید', 'باشه', 'انتخابات', 'دروغ']"
4029,"RT @ForvotingGDA1: من میتونم روزی 10 ساعت اسپاتیفای استریم بزنم،کسی هس ک پرمیوم داشته باشه و لازمش نداشته باشه فعلا؟ 
من واسه یه ماه میخوام…",من میتونم روزی 10 ساعت اسپاتیفای استریم بزنمکسی هس ک پرمیوم داشته باشه و لازمش نداشته باشه فعلا من واسه یه ماه میخوام,"['من', 'میتونم', 'روزی', '10', 'ساعت', 'اسپاتیفای', 'استریم', 'بزنمکسی', 'هس', 'ک', 'پرمیوم', 'داشته', 'باشه', 'و', 'لازمش', 'نداشته', 'باشه', 'فعلا', 'من', 'واسه', 'یه', 'ماه', 'میخوام']","['میتونم', 'روزی', '10', 'ساعت', 'اسپاتیفای', 'استریم', 'بزنمکسی', 'هس', 'ک', 'پرمیوم', 'باشه', 'لازمش', 'نداشته', 'باشه', 'فعلا', 'واسه', 'یه', 'ماه', 'میخوام']"
4030,سرما رو توی وجودم حس میکنم.,سرما رو توی وجودم حس میکنم,"['سرما', 'رو', 'توی', 'وجودم', 'حس', 'میکنم']","['سرما', 'توی', 'وجودم', 'حس', 'میکنم']"
4031,"RT @qafeinagaeedam: میم شین فقط یه توییت ساده زد و
شمایی که رفتین و ریپلای زدین ازتمام عواقبی که حرفاتون میتونست داشته باشه خبرداشتین و باآ…",میم شین فقط یه توییت ساده زد وشمایی که رفتین و ریپلای زدین ازتمام عواقبی که حرفاتون میتونست داشته باشه خبرداشتین و باآ,"['میم', 'شین', 'فقط', 'یه', 'توییت', 'ساده', 'زد', 'وشمایی', 'که', 'رفتین', 'و', 'ریپلای', 'زدین', 'ازتمام', 'عواقبی', 'که', 'حرفاتون', 'میتونست', 'داشته', 'باشه', 'خبرداشتین', 'و', 'باآ']","['میم', 'شین', 'یه', 'توییت', 'ساده', 'زد', 'وشمایی', 'رفتین', 'ریپلای', 'زدین', 'ازتمام', 'عواقبی', 'حرفاتون', 'میتونست', 'باشه', 'خبرداشتین', 'باآ']"
4032,@jertaan @setareism نمیشناسمت ولی تولدت مبارک خوشتیپ https://t.co/C34ngPFGE1,نمیشناسمت ولی تولدت مبارک خوشتیپ,"['نمیشناسمت', 'ولی', 'تولدت', 'مبارک', 'خوشتیپ']","['نمیشناسمت', 'تولدت', 'مبارک', 'خوشتیپ']"
4033,"RT @haj_mahyar: یه فکت شاید ندونید : 
امیر دریادار حبیب الله سیاری
جانباز ۷۵ درصد 
نصف معده ندارند 
نصف روده کوچک ندارند 
نصف اثنی عشر ندار…",یه فکت شاید ندونید  امیر دریادار حبیب الله سیاریجانباز ۷۵ درصد نصف معده ندارند نصف روده کوچک ندارند نصف اثنی عشر ندار,"['یه', 'فکت', 'شاید', 'ندونید', 'امیر', 'دریادار', 'حبیب', 'الله', 'سیاریجانباز', '۷۵', 'درصد', 'نصف', 'معده', 'ندارند', 'نصف', 'روده', 'کوچک', 'ندارند', 'نصف', 'اثنی', 'عشر', 'ندار']","['یه', 'فکت', 'ندونید', 'امیر', 'دریادار', 'حبیب', 'الله', 'سیاریجانباز', '۷۵', 'درصد', 'نصف', 'معده', 'نصف', 'روده', 'نصف', 'اثنی', 'عشر', 'ندار']"
4034,"RT @Alirezabm11: با دولت اقدام مسئولیت پذیری را جایگزین مسئولیت گریزی و بی مبالاتی اداری خواهیم کرد.

#اقدام_و_تحول
#آقامحسن_ایران
#محسن_رض…",با دولت اقدام مسئولیت پذیری را جایگزین مسئولیت گریزی و بی مبالاتی اداری خواهیم کرد اقدام و تحول آقامحسن ایران محسن رض,"['با', 'دولت', 'اقدام', 'مسئولیت', 'پذیری', 'را', 'جایگزین', 'مسئولیت', 'گریزی', 'و', 'بی', 'مبالاتی', 'اداری', 'خواهیم_کرد', 'اقدام', 'و', 'تحول', 'آقامحسن', 'ایران', 'محسن', 'رض']","['دولت', 'اقدام', 'مسئولیت', 'پذیری', 'جایگزین', 'مسئولیت', 'گریزی', 'مبالاتی', 'اداری', 'خواهیم_کرد', 'اقدام', 'تحول', 'آقامحسن', 'ایران', 'محسن', 'رض']"
4035,"RT @baeeki__: فدات شم من😭
ب سلامت بری پسر قشنگم😭😭
مراقب خودت باشو خوب استراحت کنو کلی غذاهای خوشمزه بخور
زیاد ازخودت کارنکش و خسته نشو😭
دلم…",فدات شم منب سلامت بری پسر قشنگممراقب خودت باشو خوب استراحت کنو کلی غذاهای خوشمزه بخورزیاد ازخودت کارنکش و خسته نشودلم,"['فدات', 'شم', 'منب', 'سلامت', 'بری', 'پسر', 'قشنگممراقب', 'خودت', 'باشو', 'خوب', 'استراحت', 'کنو', 'کلی', 'غذاهای', 'خوشمزه', 'بخورزیاد', 'ازخودت', 'کارنکش', 'و', 'خسته', 'نشودلم']","['فدات', 'شم', 'منب', 'سلامت', 'بری', 'پسر', 'قشنگممراقب', 'خودت', 'باشو', 'استراحت', 'کنو', 'غذاهای', 'خوشمزه', 'بخورزیاد', 'ازخودت', 'کارنکش', 'خسته', 'نشودلم']"
4036,"RT @IranAzad_TV: جنگ باندها، کسادی #انتخابات و بحران قحط الرجال!

#رئیسی_جلاد۶۷
#ایران https://t.co/RrzOm5rt4G",جنگ باندها کسادی  انتخابات و بحران قحط الرجال رئیسی جلاد۶۷ ایران,"['جنگ', 'باندها', 'کسادی', 'انتخابات', 'و', 'بحران', 'قحط', 'الرجال', 'رئیسی', 'جلاد', '۶۷', 'ایران']","['جنگ', 'باندها', 'کسادی', 'انتخابات', 'بحران', 'قحط', 'الرجال', 'رئیسی', 'جلاد', '۶۷', 'ایران']"
4037,RT @a_afshar135: ۷۸ فلسطینی در درگیری های امروز کرانه باختری زخمی شدند,۷۸ فلسطینی در درگیری های امروز کرانه باختری زخمی شدند,"['۷۸', 'فلسطینی', 'در', 'درگیری', 'های', 'امروز', 'کرانه', 'باختری', 'زخمی', 'شدند']","['۷۸', 'فلسطینی', 'درگیری', 'های', 'امروز', 'کرانه', 'باختری', 'زخمی']"
4038,"@mrfake200228 آدم؟تو چندشت میشه، من و خیلیای دیگه عاشق اینیم تنوع ببینیم جای اون داستانای تکراری
 حس میکنم این بازی… https://t.co/9KUGVYvYfc",آدمتو چندشت میشه من و خیلیای دیگه عاشق اینیم تنوع ببینیم جای اون داستانای تکراری حس میکنم این بازی,"['آدمتو', 'چندشت', 'میشه', 'من', 'و', 'خیلیای', 'دیگه', 'عاشق', 'اینیم', 'تنوع', 'ببینیم', 'جای', 'اون', 'داستانای', 'تکراری', 'حس', 'میکنم', 'این', 'بازی']","['آدمتو', 'چندشت', 'میشه', 'خیلیای', 'دیگه', 'عاشق', 'اینیم', 'تنوع', 'ببینیم', 'اون', 'داستانای', 'تکراری', 'حس', 'میکنم', 'بازی']"
4039,RT @habib_resane: حاج قاسم سلیمانی: این وعده الهی حتما تحقق پیدا خواهد کرد، و ما اطمینان داریم به وعده الهی، و صدق آن را در عرصه های گوناگو…,حاج قاسم سلیمانی این وعده الهی حتما تحقق پیدا خواهد کرد و ما اطمینان داریم به وعده الهی و صدق آن را در عرصه های گوناگو,"['حاج', 'قاسم', 'سلیمانی', 'این', 'وعده', 'الهی', 'حتما', 'تحقق', 'پیدا', 'خواهد_کرد', 'و', 'ما', 'اطمینان', 'داریم', 'به', 'وعده', 'الهی', 'و', 'صدق', 'آن', 'را', 'در', 'عرصه', 'های', 'گوناگو']","['حاج', 'قاسم', 'سلیمانی', 'وعده', 'الهی', 'حتما', 'تحقق', 'اطمینان', 'وعده', 'الهی', 'صدق', 'عرصه', 'های', 'گوناگو']"
4040,RT @Arnika1386: #محسن_رضایی: برای تحقق اقتصاد مقاومتی در مرحله اول باید به سمت مردمی کردن اقتصاد پیش برویم. وقتی مردم در تولید، تجارت، بازر…,محسن رضایی برای تحقق اقتصاد مقاومتی در مرحله اول باید به سمت مردمی کردن اقتصاد پیش برویم وقتی مردم در تولید تجارت بازر,"['محسن', 'رضایی', 'برای', 'تحقق', 'اقتصاد', 'مقاومتی', 'در', 'مرحله', 'اول', 'باید', 'به', 'سمت', 'مردمی', 'کردن', 'اقتصاد', 'پیش', 'برویم', 'وقتی', 'مردم', 'در', 'تولید', 'تجارت', 'بازر']","['محسن', 'رضایی', 'تحقق', 'اقتصاد', 'مقاومتی', 'مرحله', 'مردمی', 'اقتصاد', 'برویم', 'مردم', 'تولید', 'تجارت', 'بازر']"
4041,@elmira_sharifi مقاله ای هم ازش چاپ شده؟,مقاله ای هم ازش چاپ شده,"['مقاله', 'ای', 'هم', 'ازش', 'چاپ', 'شده']","['مقاله', 'ای', 'ازش', 'چاپ']"
4042,"RT @NickSotoudeh: نامه راحله احمدی به دخترش صبا کردافشاری: از اعتصاب غذای تو و پیامدهای آن نگران و آشفته‌حال هستیم
https://t.co/LcFusOHKU9…",نامه راحله احمدی به دخترش صبا کردافشاری از اعتصاب غذای تو و پیامدهای آن نگران و آشفتهحال هستیم,"['نامه', 'راحله', 'احمدی', 'به', 'دخترش', 'صبا', 'کردافشاری', 'از', 'اعتصاب', 'غذای', 'تو', 'و', 'پیامدهای', 'آن', 'نگران', 'و', 'آشفتهحال', 'هستیم']","['نامه', 'راحله', 'احمدی', 'دخترش', 'صبا', 'کردافشاری', 'اعتصاب', 'غذای', 'پیامدهای', 'نگران', 'آشفتهحال']"
4043,"@ehsan_soltani درسته اگه تاجزاده که قانون اساسی رو قبول نداره تایید بشه تمام ضد انقلاب بهش رای میدن:)))

رایش از لا… https://t.co/Olz5yeDNl3",درسته اگه تاجزاده که قانون اساسی رو قبول نداره تایید بشه تمام ضد انقلاب بهش رای میدنرایش از لا,"['درسته', 'اگه', 'تاجزاده', 'که', 'قانون', 'اساسی', 'رو', 'قبول', 'نداره', 'تایید', 'بشه', 'تمام', 'ضد', 'انقلاب', 'بهش', 'رای', 'میدنرایش', 'از', 'لا']","['درسته', 'اگه', 'تاجزاده', 'قانون', 'اساسی', 'قبول', 'نداره', 'تایید', 'بشه', 'ضد', 'انقلاب', 'بهش', 'رای', 'میدنرایش', 'لا']"
4044,"RT @Alighazizade: نتیجه ۵ روز موشک و بمب و خمپاره‌هایی که از زمین و هوا بر سر غزه ریخت، تا کنون ۱۴۰ کشته بوده است.
۱۴۰ کشته در ۵ روز جنگ تم…",نتیجه ۵ روز موشک و بمب و خمپارههایی که از زمین و هوا بر سر غزه ریخت تا کنون ۱۴۰ کشته بوده است۱۴۰ کشته در ۵ روز جنگ تم,"['نتیجه', '۵', 'روز', 'موشک', 'و', 'بمب', 'و', 'خمپارههایی', 'که', 'از', 'زمین', 'و', 'هوا', 'بر', 'سر', 'غزه', 'ریخت', 'تا', 'کنون', '۱۴۰', 'کشته', 'بوده_است', '۱۴۰', 'کشته', 'در', '۵', 'روز', 'جنگ', 'تم']","['نتیجه', '۵', 'روز', 'موشک', 'بمب', 'خمپارههایی', 'زمین', 'هوا', 'سر', 'غزه', 'ریخت', 'کنون', '۱۴۰', 'کشته', '۱۴۰', 'کشته', '۵', 'روز', 'جنگ', 'تم']"
4045,@Nasiimaa_14m مرسی,مرسی,['مرسی'],['مرسی']
4046,@saad_daal چه خوب شناختی🤔,چه خوب شناختی,"['چه', 'خوب', 'شناختی']",['شناختی']
4047,@ShahrabiMasoud @alilarijani_ir اقا اگه ایشون اینقدر بی لیاقته پس چرا از طرف حکومت مسئول مذاکره با چین شدن؟ پس اون… https://t.co/ufCvaOiOyM,اقا اگه ایشون اینقدر بی لیاقته پس چرا از طرف حکومت مسئول مذاکره با چین شدن پس اون,"['اقا', 'اگه', 'ایشون', 'اینقدر', 'بی', 'لیاقته', 'پس', 'چرا', 'از', 'طرف', 'حکومت', 'مسئول', 'مذاکره', 'با', 'چین', 'شدن', 'پس', 'اون']","['اقا', 'اگه', 'ایشون', 'اینقدر', 'لیاقته', 'حکومت', 'مسئول', 'مذاکره', 'چین', 'اون']"
4048,#مصطفی_تاج‌زاده با پیام زندگی، امید، شادی و دوستی وارد میدان شده، اولین بار نیست که فرقه‌ی استمرارطلب چنین وعده‌ و… https://t.co/4vXastxuvA,مصطفی تاجزاده با پیام زندگی امید شادی و دوستی وارد میدان شده اولین بار نیست که فرقهی استمرارطلب چنین وعده و,"['مصطفی', 'تاجزاده', 'با', 'پیام', 'زندگی', 'امید', 'شادی', 'و', 'دوستی', 'وارد', 'میدان', 'شده', 'اولین', 'بار', 'نیست', 'که', 'فرقهی', 'استمرارطلب', 'چنین', 'وعده', 'و']","['مصطفی', 'تاجزاده', 'پیام', 'زندگی', 'امید', 'شادی', 'دوستی', 'میدان', 'فرقهی', 'استمرارطلب', 'وعده']"
